iter	Passed	Remaining
1112	6399	51101
1113	6405	51097
1114	6411	51088
1115	6417	51083
1116	6422	51078
1117	6428	51069
1118	6434	51063
1119	6439	51055
1120	6444	51046
1121	6450	51039
1122	6455	51031
1123	6460	51020
1124	6466	51015
1125	6472	51011
1126	6478	51003
1127	6483	50998
1128	6489	50992
1129	6495	50984
1130	6500	50976
1131	6505	50966
1132	6511	50959
1133	6516	50946
1134	6521	50939
1135	6527	50932
1136	6532	50924
1137	6538	50914
1138	6543	50907
1139	6549	50901
1140	6554	50894
1141	6560	50885
1142	6565	50877
1143	6571	50869
1144	6576	50859
1145	6582	50854
1146	6587	50845
1147	6592	50836
1148	6598	50830
1149	6603	50821
1150	6609	50814
1151	6615	50809
1152	6621	50803
1153	6626	50795
1154	6632	50789
1155	6637	50782
1156	6643	50774
1157	6649	50769
1158	6654	50760
1159	6659	50748
1160	6665	50743
1161	6670	50736
1162	6676	50730
1163	6682	50724
1164	6687	50716
1165	6693	50710
1166	6698	50704
1167	6704	50695
1168	6709	50687
1169	6715	50680
1170	6720	50671
1171	6725	50662
1172	6732	50660
1173	6738	50655
1174	6743	50649
1175	6749	50644
1176	6754	50636
1177	6760	50626
1178	6766	50624
1179	6771	50616
1180	6777	50607
1181	6782	50602
1182	6788	50593
1183	6793	50584
1184	6799	50579
1185	6804	50572
1186	6810	50564
1187	6815	50557
1188	6821	50549
1189	6826	50540
1190	6832	50532
1191	6837	50525
1192	6843	50518
1193	6849	50513
1194	6854	50505
1195	6859	50497
1196	6865	50491
1197	6871	50484
1198	6876	50476
1199	6882	50469
1200	6887	50460
1201	6892	50452
1202	6898	50445
1203	6903	50436
1204	6908	50426
1205	6914	50421
1206	6920	50412
1207	6925	50405
1208	6931	50401
1209	6936	50393
1210	6942	50385
1211	6947	50378
1212	6953	50369
1213	6958	50362
1214	6964	50358
1215	6970	50350
1216	6975	50343
1217	6980	50333
1218	6986	50325
1219	6991	50318
1220	6997	50311
1221	7002	50304
1222	7008	50298
1223	7014	50290
1224	7019	50284
1225	7025	50276
1226	7030	50268
1227	7036	50260
1228	7041	50255
1229	7047	50247
1230	7052	50238
1231	7058	50234
1232	7064	50228
1233	7068	50215
1234	7074	50207
1235	7080	50203
1236	7085	50196
1237	7091	50187
1238	7097	50184
1239	7103	50180
1240	7108	50175
1241	7114	50168
1242	7119	50159
1243	7125	50155
1244	7131	50152
1245	7137	50144
1246	7143	50139
1247	7148	50130
